mbid,total_listen_count,total_user_count
bf6953fd-f77e-44d7-85fb-9e8c69a9eec3,14,8
9b179c6c-0707-4b92-9ad4-a665304984ac,2204,222
bb8cbbf9-eb72-4ea5-907b-f75427846d6e,1,1
2388d761-8eec-4bc2-9586-7e88bd22c99f,188,65
fec5caac-a392-44c9-a251-9948d57e9357,17,11
c7e42ec4-718b-450d-a8af-1b60d6eb7fa8,66,28
9a1da92e-bcde-4a46-b1f5-de271c556079,471,147
1a6de693-f156-4cd3-8340-2053f52314e5,50,25
59a14216-b658-48fe-a80a-4521c56f8e56,153,43
d4583816-74ec-487d-af7e-48e2eb3175be,169,86
5340dffd-f35f-401a-b2d5-9dc240c78fc3,2725,1006
6037888e-5660-4532-adf7-bad20814e4cb,3106,315
b14b8965-bbbe-4c83-8163-6d90ffca9916,2488,273
630607fc-e8da-42ef-9d23-0236ff4fd59a,282,38
b3cb6ab5-f9be-46ee-8402-06f03ff97d06,6824,836
00ffd6b2-b809-43d0-b9e3-b0de014bb3b8,434,74
b5f7a063-7e47-4951-96c6-a1bc4f471abc,220,53
9bb8083b-f111-4fcd-924a-67a776516271,13,6
b98faeff-45d1-482f-9b77-36d0cd2ae532,236,77
a3c93026-f25d-49f0-8f99-654b7e24a5ed,1389,246
007f7599-7c4e-4d67-9b93-5f3483178e5b,28,12
71b981ad-784c-47a1-81b3-d9ba0890ee32,266,87
097ae094-392c-4467-af5a-fecbf5d481c9,548,69
3b4c1a50-8bb1-4227-9edb-2772bcfefe75,2,2
